locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIBMANKB_00030	CDS	924	syrM1			HTH-type transcriptional regulator SyrM 1
PIBMANKB_00031	CDS	444				hypothetical protein
PIBMANKB_00032	CDS	147				hypothetical protein
PIBMANKB_00033	CDS	585				hypothetical protein
PIBMANKB_00034	CDS	2544				hypothetical protein
PIBMANKB_00035	CDS	2010				hypothetical protein
PIBMANKB_00036	CDS	681	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
PIBMANKB_00037	CDS	327				hypothetical protein
PIBMANKB_00038	CDS	1131				hypothetical protein
PIBMANKB_00039	CDS	939				hypothetical protein
PIBMANKB_00040	CDS	564	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
PIBMANKB_00041	CDS	930				hypothetical protein
PIBMANKB_00042	CDS	576				hypothetical protein
PIBMANKB_00043	CDS	840				hypothetical protein
PIBMANKB_00044	CDS	1194	pduW	2.7.2.15	COG0282	putative propionate kinase
PIBMANKB_00045	CDS	2421	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
PIBMANKB_00046	CDS	1188				hypothetical protein
PIBMANKB_00047	CDS	456				hypothetical protein
PIBMANKB_00048	CDS	858				hypothetical protein
PIBMANKB_00049	CDS	1509				hypothetical protein
PIBMANKB_00050	CDS	807				hypothetical protein
PIBMANKB_00051	CDS	1662		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
PIBMANKB_00052	CDS	1797	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
PIBMANKB_00053	CDS	885	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PIBMANKB_00054	CDS	879			COG0596	putative protein
PIBMANKB_00055	CDS	633	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
PIBMANKB_00056	CDS	1263	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PIBMANKB_00057	CDS	516			COG1733	putative HTH-type transcriptional regulator
PIBMANKB_00058	CDS	1008	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
PIBMANKB_00059	CDS	201				hypothetical protein
PIBMANKB_00060	CDS	768	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
PIBMANKB_00061	CDS	99				hypothetical protein
PIBMANKB_00062	CDS	909				hypothetical protein
PIBMANKB_00063	CDS	192				hypothetical protein
PIBMANKB_00064	CDS	939	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PIBMANKB_00065	CDS	2100	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PIBMANKB_00066	CDS	354				hypothetical protein
PIBMANKB_00067	CDS	156				hypothetical protein
PIBMANKB_00068	CDS	2937	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PIBMANKB_00069	CDS	1467				hypothetical protein
PIBMANKB_00070	CDS	876	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
PIBMANKB_00071	CDS	1608	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PIBMANKB_00072	CDS	1107	nadA	2.5.1.72	COG0379	Quinolinate synthase A
PIBMANKB_00073	CDS	1251				hypothetical protein
PIBMANKB_00074	CDS	987	acuI	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
PIBMANKB_00075	CDS	588				hypothetical protein
PIBMANKB_00076	CDS	234				hypothetical protein
PIBMANKB_00077	CDS	1743				hypothetical protein
PIBMANKB_00078	CDS	1767				hypothetical protein
PIBMANKB_00079	CDS	2718				hypothetical protein
PIBMANKB_00080	CDS	969				hypothetical protein
PIBMANKB_00081	CDS	183				hypothetical protein
PIBMANKB_00082	CDS	507				hypothetical protein
PIBMANKB_00083	CDS	615				hypothetical protein
PIBMANKB_00084	CDS	627	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
PIBMANKB_00085	CDS	876	ygfZ			tRNA-modifying protein YgfZ
PIBMANKB_00086	CDS	1335	lhyD	3.5.2.-		L-hydantoinase
PIBMANKB_00087	CDS	867	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
PIBMANKB_00088	CDS	705				hypothetical protein
PIBMANKB_00089	CDS	534				hypothetical protein
PIBMANKB_00090	CDS	321				hypothetical protein
PIBMANKB_00091	CDS	267				hypothetical protein
PIBMANKB_00092	CDS	378				hypothetical protein
PIBMANKB_00093	CDS	435	nudC_1	3.6.1.22		NADH pyrophosphatase
PIBMANKB_00094	CDS	492				hypothetical protein
PIBMANKB_00095	CDS	759	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
PIBMANKB_00096	CDS	1194	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
PIBMANKB_00097	CDS	930				hypothetical protein
PIBMANKB_00098	CDS	582	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
PIBMANKB_00099	CDS	435	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
PIBMANKB_00100	CDS	1428		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
PIBMANKB_00101	tRNA	77				tRNA-Pro(cgg)
PIBMANKB_00102	CDS	273				hypothetical protein
PIBMANKB_00103	CDS	327				hypothetical protein
PIBMANKB_00104	CDS	114				hypothetical protein
PIBMANKB_00105	CDS	225				hypothetical protein
PIBMANKB_00106	CDS	444				hypothetical protein
PIBMANKB_00107	CDS	555	comR_1			HTH-type transcriptional repressor ComR
PIBMANKB_00108	CDS	1194				hypothetical protein
PIBMANKB_00109	CDS	420				hypothetical protein
PIBMANKB_00110	CDS	210				hypothetical protein
PIBMANKB_00111	CDS	2394	fiu		COG4774	Catecholate siderophore receptor Fiu
PIBMANKB_00112	CDS	93				hypothetical protein
PIBMANKB_00113	CDS	978	cmpR_1			HTH-type transcriptional activator CmpR
PIBMANKB_00114	CDS	1038	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
PIBMANKB_00115	CDS	876	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, chromosomal
PIBMANKB_00116	CDS	2022	tktB_1	2.2.1.1	COG0021	Transketolase 2
PIBMANKB_00117	CDS	1086	fbaA	4.1.2.13		Fructose-bisphosphate aldolase class 2
PIBMANKB_00118	CDS	1461	cbbL	4.1.1.39	COG1850	Ribulose bisphosphate carboxylase large chain
PIBMANKB_00119	CDS	408	cbbS	4.1.1.39	COG4451	Ribulose bisphosphate carboxylase small chain
PIBMANKB_00120	CDS	933	cbbX		COG0464	Protein CbbX
PIBMANKB_00121	CDS	738	rpe_1	5.1.3.1		Ribulose-phosphate 3-epimerase
PIBMANKB_00122	CDS	1854			COG2199	putative signaling protein
PIBMANKB_00123	CDS	213				hypothetical protein
PIBMANKB_00124	CDS	1368	dadA_1	1.4.99.-		D-amino acid dehydrogenase
PIBMANKB_00125	CDS	690				hypothetical protein
PIBMANKB_00126	CDS	888	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
PIBMANKB_00127	CDS	1533	degQ_1	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
PIBMANKB_00128	CDS	363				hypothetical protein
PIBMANKB_00129	CDS	297				hypothetical protein
PIBMANKB_00130	CDS	192				hypothetical protein
PIBMANKB_00131	CDS	222				hypothetical protein
PIBMANKB_00132	CDS	183				hypothetical protein
PIBMANKB_00133	CDS	201				hypothetical protein
PIBMANKB_00134	CDS	561	yraA_1	3.2.-.-	COG0693	Putative cysteine protease YraA
PIBMANKB_00135	CDS	234				hypothetical protein
PIBMANKB_00136	CDS	258				hypothetical protein
PIBMANKB_00137	CDS	222				hypothetical protein
PIBMANKB_00138	CDS	1491	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PIBMANKB_00139	CDS	6294	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PIBMANKB_00140	CDS	297				hypothetical protein
PIBMANKB_00141	CDS	513				hypothetical protein
PIBMANKB_00142	CDS	204				hypothetical protein
PIBMANKB_00143	CDS	132				hypothetical protein
PIBMANKB_00144	CDS	222				hypothetical protein
PIBMANKB_00145	CDS	249				hypothetical protein
PIBMANKB_00146	CDS	159				hypothetical protein
PIBMANKB_00147	CDS	195				hypothetical protein
PIBMANKB_00148	CDS	456				hypothetical protein
PIBMANKB_00149	CDS	348				hypothetical protein
PIBMANKB_00150	CDS	588				hypothetical protein
PIBMANKB_00151	CDS	891	yghA	1.-.-.-		putative oxidoreductase YghA
PIBMANKB_00152	CDS	552				hypothetical protein
PIBMANKB_00153	CDS	228				hypothetical protein
PIBMANKB_00154	CDS	1788	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
PIBMANKB_00155	CDS	375				hypothetical protein
PIBMANKB_00156	CDS	159				hypothetical protein
PIBMANKB_00157	CDS	1155	emrK_1		COG1566	putative multidrug resistance protein EmrK
PIBMANKB_00158	CDS	1611	emrB_1			Multidrug export protein EmrB
PIBMANKB_00159	CDS	738				hypothetical protein
PIBMANKB_00160	CDS	1002		1.13.12.16	COG2070	Nitronate monooxygenase
PIBMANKB_00161	CDS	414				hypothetical protein
PIBMANKB_00162	CDS	1566				hypothetical protein
PIBMANKB_00163	CDS	819	dkgB_1	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
PIBMANKB_00164	CDS	225				hypothetical protein
PIBMANKB_00165	CDS	453				hypothetical protein
PIBMANKB_00166	CDS	273				hypothetical protein
PIBMANKB_00167	CDS	1233	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
PIBMANKB_00168	CDS	519				hypothetical protein
PIBMANKB_00169	CDS	1731	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
PIBMANKB_00170	CDS	1077	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PIBMANKB_00171	CDS	1215	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
PIBMANKB_00172	CDS	918	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
PIBMANKB_00173	CDS	855				hypothetical protein
PIBMANKB_00174	CDS	1140				hypothetical protein
PIBMANKB_00175	CDS	1197				hypothetical protein
PIBMANKB_00176	CDS	1629	dmdB_1	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
PIBMANKB_00177	CDS	1110				hypothetical protein
PIBMANKB_00178	CDS	687				hypothetical protein
PIBMANKB_00179	CDS	978	corA_1		COG0598	Magnesium transport protein CorA
PIBMANKB_00180	CDS	219				hypothetical protein
PIBMANKB_00181	CDS	771	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PIBMANKB_00182	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIBMANKB_00183	CDS	642	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
PIBMANKB_00184	CDS	501				hypothetical protein
PIBMANKB_00185	CDS	966	cbpA_1		COG2214	Curved DNA-binding protein
PIBMANKB_00186	CDS	774				hypothetical protein
PIBMANKB_00187	CDS	537	ecfG_1			ECF RNA polymerase sigma factor EcfG
PIBMANKB_00188	CDS	816	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
PIBMANKB_00189	CDS	600	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
PIBMANKB_00190	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
PIBMANKB_00191	CDS	1191				hypothetical protein
PIBMANKB_00192	CDS	279				hypothetical protein
PIBMANKB_00193	CDS	1182		1.8.98.-	COG0641	Anaerobic sulfatase-maturating enzyme
PIBMANKB_00194	CDS	1344				hypothetical protein
PIBMANKB_00195	CDS	1035				hypothetical protein
PIBMANKB_00196	CDS	762				hypothetical protein
PIBMANKB_00197	CDS	306	clpS2		COG2127	ATP-dependent Clp protease adapter protein ClpS 2
PIBMANKB_00198	CDS	342				hypothetical protein
PIBMANKB_00199	CDS	429	crcB_1			Putative fluoride ion transporter CrcB
PIBMANKB_00200	CDS	390	crcB_2			Putative fluoride ion transporter CrcB
PIBMANKB_00201	CDS	1206				hypothetical protein
PIBMANKB_00202	CDS	870				hypothetical protein
PIBMANKB_00203	CDS	633				hypothetical protein
PIBMANKB_00204	CDS	642				hypothetical protein
PIBMANKB_00205	CDS	384				hypothetical protein
PIBMANKB_00206	CDS	1059	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
PIBMANKB_00207	CDS	603				hypothetical protein
PIBMANKB_00208	CDS	1248	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
PIBMANKB_00209	CDS	735	tlyA	2.1.1.226		16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
PIBMANKB_00210	CDS	555				hypothetical protein
PIBMANKB_00211	CDS	1929	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PIBMANKB_00212	CDS	252	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
PIBMANKB_00213	CDS	930		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
PIBMANKB_00214	CDS	1656	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
PIBMANKB_00215	CDS	759	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
PIBMANKB_00216	CDS	1239				hypothetical protein
PIBMANKB_00217	CDS	1776	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
PIBMANKB_00218	tRNA	75				tRNA-Gln(ttg)
PIBMANKB_00219	CDS	261				hypothetical protein
PIBMANKB_00220	CDS	789				hypothetical protein
PIBMANKB_00221	CDS	1233				hypothetical protein
PIBMANKB_00222	CDS	585				hypothetical protein
PIBMANKB_00223	CDS	198				hypothetical protein
PIBMANKB_00224	CDS	636				hypothetical protein
PIBMANKB_00225	CDS	672				hypothetical protein
PIBMANKB_00226	CDS	105				hypothetical protein
PIBMANKB_00227	CDS	1617				hypothetical protein
PIBMANKB_00228	CDS	231				hypothetical protein
PIBMANKB_00229	CDS	1008		3.8.1.3	COG0596	Fluoroacetate dehalogenase
PIBMANKB_00230	CDS	870				hypothetical protein
PIBMANKB_00231	CDS	879				hypothetical protein
PIBMANKB_00232	CDS	726				hypothetical protein
PIBMANKB_00233	CDS	366				hypothetical protein
PIBMANKB_00234	CDS	507				hypothetical protein
PIBMANKB_00235	CDS	537				hypothetical protein
PIBMANKB_00236	CDS	981	rclR_1		COG2207	RCS-specific HTH-type transcriptional activator RclR
PIBMANKB_00237	CDS	318				hypothetical protein
PIBMANKB_00238	CDS	873				hypothetical protein
PIBMANKB_00239	CDS	5601	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PIBMANKB_00240	CDS	5160	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
PIBMANKB_00241	CDS	528				hypothetical protein
PIBMANKB_00242	CDS	105				hypothetical protein
PIBMANKB_00243	CDS	366	todT_1		COG4566	Response regulator protein TodT
PIBMANKB_00244	CDS	660	sigF_1		COG1595	ECF RNA polymerase sigma factor SigF
PIBMANKB_00245	CDS	1041	egtD_1	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
PIBMANKB_00246	CDS	255				hypothetical protein
PIBMANKB_00247	CDS	684		2.7.13.3		Blue-light-activated histidine kinase
PIBMANKB_00248	CDS	516	rclC		COG3059	Inner membrane protein RclC
PIBMANKB_00249	CDS	1674	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
PIBMANKB_00250	CDS	615	todT_2		COG4566	Response regulator protein TodT
PIBMANKB_00251	CDS	975	rhaS_1			HTH-type transcriptional activator RhaS
PIBMANKB_00252	CDS	870	dhmA_1	3.8.1.5		Haloalkane dehalogenase
PIBMANKB_00253	CDS	984	ppsC_1	2.3.1.41		Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC
PIBMANKB_00254	CDS	771	bacG_1	1.3.1.-	COG1028	NADPH-dependent reductase BacG
PIBMANKB_00255	CDS	267				hypothetical protein
PIBMANKB_00256	CDS	762	mmoC	1.14.13.25	COG0543	Methane monooxygenase component C
PIBMANKB_00257	CDS	618	yedY1_1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
PIBMANKB_00258	CDS	1515	aam_1	3.5.1.13	COG0154	Acylamidase
PIBMANKB_00259	CDS	609				hypothetical protein
PIBMANKB_00260	CDS	582				hypothetical protein
PIBMANKB_00261	CDS	1275				hypothetical protein
PIBMANKB_00262	CDS	912	ureD_1			Urease accessory protein UreD
PIBMANKB_00263	CDS	303	ureA1_1	3.5.1.5		Urease subunit gamma 1
PIBMANKB_00264	CDS	576				hypothetical protein
PIBMANKB_00265	CDS	339	ureB_1	3.5.1.5	COG0832	Urease subunit beta
PIBMANKB_00266	CDS	1704	ureC1_1	3.5.1.5		Urease subunit alpha 1
PIBMANKB_00267	misc_RNA	290				5_ureB_sRNA
PIBMANKB_00268	CDS	699	ureF_1		COG0830	Urease accessory protein UreF
PIBMANKB_00269	CDS	684	ureG_1		COG0378	Urease accessory protein UreG
PIBMANKB_00270	CDS	312	tyrA		COG0287	T-protein
PIBMANKB_00271	CDS	297				hypothetical protein
PIBMANKB_00272	CDS	354				hypothetical protein
PIBMANKB_00273	CDS	804	pcaR_1		COG1414	Pca regulon regulatory protein
PIBMANKB_00274	CDS	747				hypothetical protein
PIBMANKB_00275	CDS	864	mhpD_1	4.2.1.80		2-keto-4-pentenoate hydratase
PIBMANKB_00276	CDS	561				hypothetical protein
PIBMANKB_00277	CDS	972				hypothetical protein
PIBMANKB_00278	CDS	2331				hypothetical protein
PIBMANKB_00279	CDS	1092				hypothetical protein
PIBMANKB_00280	CDS	360				hypothetical protein
PIBMANKB_00281	CDS	888				hypothetical protein
PIBMANKB_00282	CDS	1188	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
PIBMANKB_00283	CDS	681	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIBMANKB_00284	CDS	1215				hypothetical protein
PIBMANKB_00285	CDS	1437				hypothetical protein
PIBMANKB_00286	CDS	1158				hypothetical protein
PIBMANKB_00287	CDS	222				hypothetical protein
PIBMANKB_00288	CDS	1188	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
PIBMANKB_00289	CDS	1089	Vejaci	5.5.1.25	COG4948	3,6-anhydro-alpha-L-galactonate cycloisomerase
PIBMANKB_00290	CDS	546				hypothetical protein
PIBMANKB_00291	CDS	1194	pepT_1	3.4.11.4		Peptidase T
PIBMANKB_00292	CDS	1248				hypothetical protein
PIBMANKB_00293	CDS	285				hypothetical protein
PIBMANKB_00294	CDS	1218	mdtA_2			Multidrug resistance protein MdtA
PIBMANKB_00295	CDS	3183	mdtB_2			Multidrug resistance protein MdtB
PIBMANKB_00296	CDS	369				hypothetical protein
PIBMANKB_00297	CDS	1515				hypothetical protein
PIBMANKB_00298	CDS	138				hypothetical protein
PIBMANKB_00299	CDS	360	rssB_1			Regulator of RpoS
PIBMANKB_00300	CDS	603				hypothetical protein
PIBMANKB_00301	CDS	981				hypothetical protein
PIBMANKB_00302	CDS	465				hypothetical protein
PIBMANKB_00303	CDS	951				hypothetical protein
PIBMANKB_00304	CDS	276				hypothetical protein
PIBMANKB_00305	CDS	858				hypothetical protein
PIBMANKB_00306	CDS	1191				hypothetical protein
PIBMANKB_00307	CDS	1326				hypothetical protein
PIBMANKB_00308	CDS	801	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
PIBMANKB_00309	CDS	555				hypothetical protein
PIBMANKB_00310	CDS	912	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
PIBMANKB_00311	CDS	2001	cyoB_1	1.10.3.10	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
PIBMANKB_00312	CDS	642	cyoC_1		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
PIBMANKB_00313	CDS	387				hypothetical protein
PIBMANKB_00314	CDS	789				hypothetical protein
PIBMANKB_00315	CDS	1740	fdhL_1	1.1.99.11		Fructose dehydrogenase large subunit
PIBMANKB_00316	CDS	450				hypothetical protein
PIBMANKB_00317	CDS	1020	htrA			Putative serine protease HtrA
PIBMANKB_00318	CDS	1728	kstD_1	1.3.99.4		3-oxosteroid 1-dehydrogenase
PIBMANKB_00319	CDS	3477				hypothetical protein
PIBMANKB_00320	CDS	957				hypothetical protein
PIBMANKB_00321	CDS	699	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
PIBMANKB_00322	CDS	1653				hypothetical protein
PIBMANKB_00323	CDS	825	sugB_1		COG0395	Trehalose transport system permease protein SugB
PIBMANKB_00324	CDS	939				hypothetical protein
PIBMANKB_00325	CDS	1326	eltP_1			Erythritol/L-threitol-binding protein
PIBMANKB_00326	CDS	780	soxA_1	1.8.2.-		SoxAX cytochrome complex subunit A
PIBMANKB_00327	CDS	318				hypothetical protein
PIBMANKB_00328	CDS	468				hypothetical protein
PIBMANKB_00329	CDS	624				hypothetical protein
PIBMANKB_00330	CDS	1308	fccB	1.8.2.3	COG0446	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
PIBMANKB_00331	CDS	2187		1.2.5.2		Membrane-bound aldehyde dehydrogenase [pyrroloquinoline-quinone]
PIBMANKB_00332	CDS	450	iorA_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
PIBMANKB_00333	CDS	1617				hypothetical protein
PIBMANKB_00334	CDS	1389	ribZ_1			Riboflavin transporter RibZ
PIBMANKB_00335	CDS	1062	hicd_1	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
PIBMANKB_00336	CDS	792	cmpC_1	3.6.3.-	COG0715	Bicarbonate transport ATP-binding protein CmpC
PIBMANKB_00337	CDS	843	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
PIBMANKB_00338	CDS	1041				hypothetical protein
PIBMANKB_00339	CDS	840				hypothetical protein
PIBMANKB_00340	CDS	1002	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
PIBMANKB_00341	CDS	1101				Ca(2+)/H(+) antiporter
PIBMANKB_00342	CDS	441				hypothetical protein
PIBMANKB_00343	CDS	426				hypothetical protein
PIBMANKB_00344	CDS	171				hypothetical protein
PIBMANKB_00345	CDS	255				hypothetical protein
PIBMANKB_00346	CDS	198				hypothetical protein
PIBMANKB_00347	CDS	744	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIBMANKB_00348	CDS	771	tam_2	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
PIBMANKB_00349	CDS	1011	dctP_1		COG1638	C4-dicarboxylate-binding periplasmic protein DctP
PIBMANKB_00350	CDS	2049				hypothetical protein
PIBMANKB_00351	CDS	1929	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
PIBMANKB_00352	CDS	1071		2.4.1.11	COG0438	Glycogen synthase
PIBMANKB_00353	CDS	1764	atm1_1		COG5265	ATM1-type heavy metal exporter
PIBMANKB_00354	CDS	2205				hypothetical protein
PIBMANKB_00355	CDS	537				hypothetical protein
PIBMANKB_00356	CDS	1305				putative MFS-type transporter
PIBMANKB_00357	CDS	699	fixK_1		COG0664	Nitrogen fixation regulation protein FixK
PIBMANKB_00358	CDS	423	tmoT_1			Response regulator protein TmoT
PIBMANKB_00359	CDS	618	fixJ_1			Transcriptional regulatory protein FixJ
PIBMANKB_00360	CDS	1518	fixL_1	2.7.13.3		Sensor protein FixL
PIBMANKB_00361	CDS	834				hypothetical protein
PIBMANKB_00362	CDS	426				hypothetical protein
PIBMANKB_00363	CDS	1650	fixN	1.9.3.1	COG3278	Cytochrome c oxidase subunit 1 , bacteroid
PIBMANKB_00364	CDS	735				hypothetical protein
PIBMANKB_00365	CDS	165				hypothetical protein
PIBMANKB_00366	CDS	876	fixP		COG2010	Cbb3-type cytochrome c oxidase subunit FixP
PIBMANKB_00367	CDS	1467				hypothetical protein
PIBMANKB_00368	CDS	486				hypothetical protein
PIBMANKB_00369	CDS	2193	copA	3.6.3.54		putative copper-importing P-type ATPase A
PIBMANKB_00370	CDS	165				hypothetical protein
PIBMANKB_00371	CDS	1203	ynfM			Inner membrane transport protein YnfM
PIBMANKB_00372	CDS	480				hypothetical protein
PIBMANKB_00373	CDS	285				hypothetical protein
PIBMANKB_00374	CDS	711				hypothetical protein
PIBMANKB_00375	CDS	882	gltC_1			HTH-type transcriptional regulator GltC
PIBMANKB_00376	CDS	1149				hypothetical protein
PIBMANKB_00377	CDS	951				hypothetical protein
PIBMANKB_00378	CDS	1416	glgA_1	2.4.1.21	COG0297	Glycogen synthase
PIBMANKB_00379	CDS	1197	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
PIBMANKB_00380	CDS	1068	adh_1	1.1.1.1		Alcohol dehydrogenase
PIBMANKB_00381	CDS	1080	hicd_2	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
PIBMANKB_00382	CDS	282				hypothetical protein
PIBMANKB_00383	CDS	822		4.2.1.150	COG1024	Crotonyl-CoA hydratase
PIBMANKB_00384	CDS	1401				hypothetical protein
PIBMANKB_00385	CDS	393				hypothetical protein
PIBMANKB_00386	CDS	1050	argP_1			HTH-type transcriptional regulator ArgP
